# Planet Labs 18 SPCS Matching Report v1
# Available publicly at: http://ephemerides.planet-labs.com/18SPCS_matches_v1.txt
# Epoch: 2022-01-25T23:17:45Z
#
# Planet Labs ranging and GPS data always positively identifies the satellite
# RMS error < 5 km implies a 'good' match.
# hist: from historical match in absence of present match
#
# Column descriptions:
# * hw_id - Planet hardware ID of satellite.
# * planet_name - Planet's internal name of the satellite.
# * 18spcs_name - The name the 18th SPCS uses for the satellite.
# * catid - The ID of the satellite in the 18th SPCS catalog.
# * rms_km - The RMS error of the best TLE matches for this satellite.Up to 3 best matches are represented, each one separated by a '/'.
# * matches - The IDs of the best TLE matches for this satellite. Up to 3 best matches are represented, each one separated by a '/'.
# * correct_name - Flag identifying whether any of the TLE matches have the name we would expect for this satellite. Up to 3 best matches are represented, each one separated by a '/'.
# * catalogued - has the satellite been officially catalogued in the 18th SPCS cagolog?
# * catid_9digit - Temporary 9-digit catalog ID assigned by 18th SPCS for LEOP.
# * catid_supplemental - catalog-ID used by Celestrak published Supplemental TLEs during LEOP
#
# hw_id    planet_name       18spcs_name    catid    rms_km               matches            correct_name       catalogued    catid_9digit    catid_supplemental
1038       Flock 3p-49 1038  FLOCK 3P 49    42001    0.68                 42001              True               True          -               -
1039       Flock 3p-40 1039  FLOCK 3P 40    42010    0.72/23.628          42010/41968        True/False         True          -               -
103a       Flock 3p-36 103a  FLOCK 3P 36    41986    hist                 41986              True               True          -               -
103b       Flock 3p-34 103b  FLOCK 3P 34    41988    0.722                41988              True               True          -               -
103c       Flock 3p-33 103c  FLOCK 3P 33    41990    1.008                41990              True               True          -               -
103d       Flock 3p-35 103d  FLOCK 3P 35    41989    hist                 41989              True               True          -               -
103e       Flock 3p-39 103e  FLOCK 3P 39    42038    hist                 42038              True               True          -               -
103f       Flock 2k-46 103f  FLOCK 2K 46    42858    7.774                42858              True               True          -               -
1040       Flock 3p-65 1040  FLOCK 3P 65    42028    0.772                42028              True               True          -               -
1041       Flock 3p-43 1041  FLOCK 3P 43    42007    0.872                42007              True               True          -               -
1042       Flock 3p-48 1042  FLOCK 3P 48    42006    1.447                42006              True               True          -               -
1043       Flock 2k-47 1043  FLOCK 2K 47    42854    8.659                42854              True               True          -               -
1044       Flock 3p-52 1044  FLOCK 3P 52    42030    hist                 42030              True               True          -               -
1045       Flock 3p-59 1045  FLOCK 3P 59    42022    hist                 42022              True               True          -               -
1046       Flock 3p-62 1046  FLOCK 3P 62    42036    hist                 42036              True               True          -               -
1047       Flock 2k-28 1047  FLOCK 2K 28    42880    2.44                 42880              True               True          -               -
1048       Flock 2k-29 1048  FLOCK 2K 29    42871    1.428                42871              True               True          -               -
1049       Flock 2k-30 1049  FLOCK 2K 30    42872    3.529                42872              True               True          -               -
104a       Flock 2k-31 104a  FLOCK 2K 31    42869    hist                 42869              True               True          -               -
104b       Flock 2k-32 104b  FLOCK 2K 32    42870    1.258                42870              True               True          -               -
104d       Flock 2k-34 104d  FLOCK 2K 34    42878    8.214                42878              True               True          -               -
104e       Flock 2k-35 104e  FLOCK 2K 35    42877    3.295                42877              True               True          -               -
104f       Flock 2k-36 104f  FLOCK 2K 36    42876    17.448               42876              True               True          -               -
1050       Flock 2k-37 1050  FLOCK 2K 37    42867    1.068                42867              True               True          -               -
1051       Flock 2k-38 1051  FLOCK 2K 38    42868    13.788               42868              True               True          -               -
1052       Flock 2k-39 1052  FLOCK 2K 39    42866    1.275                42866              True               True          -               -
1053       Flock 2k-40 1053  FLOCK 2K 40    42865    4.221/25.131         42865/42860        True/False         True          -               -
1054       Flock 2k-41 1054  FLOCK 2K 41    42875    3.516                42875              True               True          -               -
1056       Flock 2k-43 1056  FLOCK 2K 43    42874    1.456                42874              True               True          -               -
1057       Flock 3r-6 1057   FLOCK 3R 6     43741    0.866                43741              True               True          -               -
1058       Flock 3r-7 1058   FLOCK 3R 7     43742    0.772                43742              True               True          -               -
1059       Flock 3r-10 1059  FLOCK 3R 10    43740    hist                 43740              True               True          -               -
105a       Flock 3r-1 105a   FLOCK 3R 1     43747    2.386                43747              True               True          -               -
105b       Flock 3r-2 105b   FLOCK 3R 2     43748    0.686                43748              True               True          -               -
105c       Flock 3s-1 105c   FLOCK 3S 1     43769    0.799                43769              True               True          -               -
105d       Flock 3r-3 105d   FLOCK 3R 3     43734    0.761                43734              True               True          -               -
105e       Flock 3r-4 105e   FLOCK 3R 4     43733    1.373                43733              True               True          -               -
105f       Flock 3r-5 105f   FLOCK 3R 5     43726    hist                 43726              True               True          -               -
1060       Flock 3r-8 1060   FLOCK 3R 8     43727    3.661                43727              True               True          -               -
1061       Flock 3r-9 1061   FLOCK 3R 9     43723    0.626                43723              True               True          -               -
1062       Flock 3k-1 1062   FLOCK 3K 1     43894    1.139                43894              True               True          -               -
1063       Flock 3k-4 1063   FLOCK 3K 4     43893    0.729                43893              True               True          -               -
1064       Flock 3r-11 1064  FLOCK 3R 11    43725    0.79                 43725              True               True          -               -
1065       Flock 3k-9 1065   FLOCK 3K 9     43906    1.168                43906              True               True          -               -
1066       Flock 3r-12 1066  FLOCK 3R 12    43724    0.781                43724              True               True          -               -
1067       Flock 3k-5 1067   FLOCK 3K 5     43899    2.542                43899              True               True          -               -
1068       Flock 3k-3 1068   FLOCK 3K 3     43892    0.703                43892              True               True          -               -
1069       Flock 3k-6 1069   FLOCK 3K 6     43896    0.892                43896              True               True          -               -
106a       Flock 3k-7 106a   FLOCK 3K 7     43902    1.864                43902              True               True          -               -
106b       Flock 3k-8 106b   FLOCK 3K 8     43901    0.902                43901              True               True          -               -
106c       Flock 3k-2 106c   FLOCK 3K 2     43895    0.796                43895              True               True          -               -
106d       Flock 3k-10 106d  FLOCK 3K 10    43905    0.797                43905              True               True          -               -
106e       Flock 3k-11 106e  FLOCK 3K 11    43904    4.446                43904              True               True          -               -
106f       Flock 3k-12 106f  FLOCK 3K 12    43903    hist                 43903              True               True          -               -
1100       Flock 3pp-1 1100  FLOCK 3PP 1    43121    0.402                43121              True               True          -               -
1102       Flock 3pp-2 1102  FLOCK 3PP 2    43120    0.692                43120              True               True          -               -
1105       Flock 3pp-3 1105  FLOCK 3PP 3    43119    0.812                43119              True               True          -               -
1107       Flock 3pp-4 1107  FLOCK 3PP 4    43122    0.644                43122              True               True          -               -
2107       Flock 3r-15 2107  FLOCK 3R 15    43736    2.224                43736              True               True          -               -
210b       Flock 3r-13 210b  FLOCK 3R 13    43750    3.499                43750              True               True          -               -
210c       Flock 3r-14 210c  FLOCK 3R 14    43749    1.07                 43749              True               True          -               -
210d       Flock 3s-3 210d   FLOCK 3S 3     43788    0.583                43788              True               True          -               -
2151       Flock 3s-2 2151   FLOCK 3S 2     43821    0.618                43821              True               True          -               -
2152       Flock 3r-16 2152  FLOCK 3R 16    43735    1.209                43735              True               True          -               -
2201       Flock 4a-2 2201   FLOCK 4A 2     44080    0.455                44080              True               True          -               -
2205       Flock 4a-10 2205  FLOCK 4A 10    44097    0.876                44097              True               True          -               -
2206       Flock 4a-3 2206   FLOCK 4A 3     44081    1.08                 44081              True               True          -               -
2207       Flock 4a-15 2207  FLOCK 4A 15    44100    0.597                44100              True               True          -               -
2209       Flock 4a-12 2209  FLOCK 4A 12    44108    0.798                44108              True               True          -               -
220b       Flock 4a-6 220b   FLOCK 4A 6     44094    0.665                44094              True               True          -               -
220c       Flock 4a-13 220c  FLOCK 4A 13    44102    1.07                 44102              True               True          -               -
2212       Flock 4a-17 2212  FLOCK 4A 17    44088    0.513                44088              True               True          -               -
2213       Flock 4a-8 2213   FLOCK 4A 8     44092    hist                 44092              True               True          -               -
2215       Flock 4a-18 2215  FLOCK 4A 18    44089    0.911/48.026         44089/44099        True/False         True          -               -
2218       Flock 4a-1 2218   FLOCK 4A 1     44079    0.927                44079              True               True          -               -
2220       Flock 4a-4 2220   FLOCK 4A 4     44082    0.782                44082              True               True          -               -
2223       Flock 4a-11 2223  FLOCK 4A 11    44096    0.682                44096              True               True          -               -
2224       Flock 4a-9 2224   FLOCK 4A 9     44098    0.733                44098              True               True          -               -
2227       Flock 4a-5 2227   FLOCK 4A 5     44095    1.122                44095              True               True          -               -
222b       Flock 4a-16 222b  FLOCK 4A 16    44099    0.69                 44099              True               True          -               -
222c       Flock 4a-14 222c  FLOCK 4A 14    44101    0.835                44101              True               True          -               -
222d       Flock 4a-7 222d   FLOCK 4A 7     44093    0.849                44093              True               True          -               -
222f       Flock 4p-7 222f   FLOCK 4P 7     44816    0.459                44816              True               True          -               -
2231       Flock 4p-11 2231  FLOCK 4P 11    44809    1.021                44809              True               True          -               -
2232       Flock 4a-20 2232  FLOCK 4A 20    44091    0.856                44091              True               True          -               -
2233       Flock 4p-10 2233  FLOCK 4P 10    44808    0.472                44808              True               True          -               -
2235       Flock 4a-19 2235  FLOCK 4A 19    44090    0.724                44090              True               True          -               -
2251       Flock 4ep-3 2251  FLOCK 4EP 3    46819    0.829                46819              True               True          -               -
2254       Flock 4v-10 2254  FLOCK 4V 10    46296    0.734                46296              True               True          -               -
2256       Flock 4v-2 2256   FLOCK 4V 2     46321    1.143                46321              True               True          -               -
2257       Flock 4p-9 2257   FLOCK 4P 9     44807    1.158                44807              True               True          -               -
2259       Flock 4p-5 2259   FLOCK 4P 5     44818    0.897                44818              True               True          -               -
225a       Flock 4ep-1 225a  FLOCK 4EP 1    46813    0.478                46813              True               True          -               -
225b       Flock 4v-6 225b   FLOCK 4V 6     46289    0.482                46289              True               True          -               -
2262       Flock 4ep-7 2262  FLOCK 4EP 7    46814    0.845                46814              True               True          -               -
2263       Flock 4p-6 2263   FLOCK 4P 6     44817    1.46                 44817              True               True          -               -
2264       Flock 4ep-8 2264  FLOCK 4EP 8    46816    0.882                46816              True               True          -               -
2271       Flock 4p-12 2271  FLOCK 4P 12    44810    1.032                44810              True               True          -               -
2274       Flock 4v-4 2274   FLOCK 4V 4     46314    0.539                46314              True               True          -               -
2275       Flock 4p-8 2275   FLOCK 4P 8     44815    1.206                44815              True               True          -               -
2276       Flock 4ep-5 2276  FLOCK 4EP 5    46817    1.084                46817              True               True          -               -
2277       Flock 4p-1 2277   FLOCK 4P 1     44814    0.851                44814              True               True          -               -
2278       Flock 4p-2 2278   FLOCK 4P 2     44813    0.886                44813              True               True          -               -
2279       Flock 4ep-2 2279  FLOCK 4EP 2    46820    0.991                46820              True               True          -               -
227a       Flock 4v-14 227a  FLOCK 4V 14    46286    0.483                46286              True               True          -               -
227b       Flock 4v-7 227b   FLOCK 4V 7     46291    0.747                46291              True               True          -               -
227c       Flock 4v-1 227c   FLOCK 4V 1     46313    0.585                46313              True               True          -               -
227e       Flock 4ep-4 227e  FLOCK 4EP 4    46821    1.621                46821              True               True          -               -
2280       Flock 4ep-6 2280  FLOCK 4EP 6    46822    0.813                46822              True               True          -               -
2304       Flock 4p-3 2304   FLOCK 4P 3     44812    0.558                44812              True               True          -               -
2307       Flock 4v-12 2307  FLOCK 4V 12    46283    1.037                46283              True               True          -               -
2310       Flock 4p-4 2310   FLOCK 4P 4     44811    1.42                 44811              True               True          -               -
2401       Flock 4v-23 2401  FLOCK 4V 23    46737    0.864                46737              True               True          -               -
2402       Flock 4v-15 2402  FLOCK 4V 15    46528    0.772                46528              True               True          -               -
2403       Flock 4v-16 2403  FLOCK 4V 16    46527    0.556                46527              True               True          -               -
2405       Flock 4v-24 2405  FLOCK 4V 24    46738    0.835                46738              True               True          -               -
2406       Flock 4v-20 2406  FLOCK 4V 20    46612    0.855                46612              True               True          -               -
2407       Flock 4v-26 2407  FLOCK 4V 26    46825    0.91                 46825              True               True          -               -
2408       Flock 4v-21 2408  FLOCK 4V 21    46596    7.148                46596              True               True          -               -
240a       Flock 4v-22 240a  FLOCK 4V 22    46735    1.496                46735              True               True          -               -
240c       Flock 4v-25 240c  FLOCK 4V 25    46812    0.831                46812              True               True          -               -
240f       Flock 4v-5 240f   FLOCK 4V 5     46290    0.959                46290              True               True          -               -
2412       Flock 4v-3 2412   FLOCK 4V 3     46322    0.893                46322              True               True          -               -
2413       Flock 4v-18 2413  FLOCK 4V 18    46597    0.751                46597              True               True          -               -
2414       Flock 4v-19 2414  FLOCK 4V 19    46609    0.868                46609              True               True          -               -
2416       Flock 4v-8 2416   FLOCK 4V 8     46288    0.722                46288              True               True          -               -
2419       Flock 4v-9 2419   FLOCK 4V 9     46282    1.745                46282              True               True          -               -
241a       Flock 4s-12 241a  FLOCK 4S 12    47471    0.747                47471              True               True          -               -
241b       Flock 4s-31 241b  FLOCK 4S 31    47475    0.83/43.732          47475/47540        True/False         True          -               -
241c       Flock 4v-13 241c  FLOCK 4V 13    46297    0.49                 46297              True               True          -               -
241d       Flock 4s-36 241d  FLOCK 4S 36    47530    1.199                47530              True               True          -               -
241e       Flock 4s-22 241e  FLOCK 4S 22    47452    0.857                47452              True               True          -               -
241f       Flock 4s-14 241f  FLOCK 4S 14    47528    0.724                47528              True               True          -               -
2420       Flock 4s-33 2420  FLOCK 4S 33    47469    0.725                47469              True               True          -               -
2421       Flock 4s-18 2421  FLOCK 4S 18    47496    0.617                47496              True               True          -               -
2423       Flock 4s-5 2423   FLOCK 4S 5     47515    0.629                47515              True               True          -               -
2424       Flock 4v-11 2424  FLOCK 4V 11    46285    1.596                46285              True               True          -               -
2426       Flock 4v-17 2426  FLOCK 4V 17    46529    0.535                46529              True               True          -               -
2427       Flock 4s-41 2427  FLOCK 4S 41    47698    1.484                47698              True               True          -               -
